genbank_accession,domain,phylum,class,order,family,genus,species,temperature_optimum,temperature_min,temperature_max,reported_temperature_optimum,reported_temperature_min,reported_temperature_max,partition_temperature,extracellular_soluble_aa_A,extracellular_soluble_aa_C,extracellular_soluble_aa_D,extracellular_soluble_aa_E,extracellular_soluble_aa_F,extracellular_soluble_aa_G,extracellular_soluble_aa_H,extracellular_soluble_aa_I,extracellular_soluble_aa_K,extracellular_soluble_aa_L,extracellular_soluble_aa_M,extracellular_soluble_aa_N,extracellular_soluble_aa_P,extracellular_soluble_aa_Q,extracellular_soluble_aa_R,extracellular_soluble_aa_S,extracellular_soluble_aa_T,extracellular_soluble_aa_V,extracellular_soluble_aa_W,extracellular_soluble_aa_Y,intracellular_soluble_aa_A,intracellular_soluble_aa_C,intracellular_soluble_aa_D,intracellular_soluble_aa_E,intracellular_soluble_aa_F,intracellular_soluble_aa_G,intracellular_soluble_aa_H,intracellular_soluble_aa_I,intracellular_soluble_aa_K,intracellular_soluble_aa_L,intracellular_soluble_aa_M,intracellular_soluble_aa_N,intracellular_soluble_aa_P,intracellular_soluble_aa_Q,intracellular_soluble_aa_R,intracellular_soluble_aa_S,intracellular_soluble_aa_T,intracellular_soluble_aa_V,intracellular_soluble_aa_W,intracellular_soluble_aa_Y,membrane_aa_A,membrane_aa_C,membrane_aa_D,membrane_aa_E,membrane_aa_F,membrane_aa_G,membrane_aa_H,membrane_aa_I,membrane_aa_K,membrane_aa_L,membrane_aa_M,membrane_aa_N,membrane_aa_P,membrane_aa_Q,membrane_aa_R,membrane_aa_S,membrane_aa_T,membrane_aa_V,membrane_aa_W,membrane_aa_Y,diff_extra_intra_aa_A,diff_extra_intra_aa_C,diff_extra_intra_aa_D,diff_extra_intra_aa_E,diff_extra_intra_aa_F,diff_extra_intra_aa_G,diff_extra_intra_aa_H,diff_extra_intra_aa_I,diff_extra_intra_aa_K,diff_extra_intra_aa_L,diff_extra_intra_aa_M,diff_extra_intra_aa_N,diff_extra_intra_aa_P,diff_extra_intra_aa_Q,diff_extra_intra_aa_R,diff_extra_intra_aa_S,diff_extra_intra_aa_T,diff_extra_intra_aa_V,diff_extra_intra_aa_W,diff_extra_intra_aa_Y,genome_id_x,label_x,p0.03_seed0,p0.03_seed1,p0.03_seed2,p0.03_seed4,p0.03_seed5,p0.05_seed0,p0.05_seed1,p0.05_seed2,p0.05_seed4,p0.05_seed5,p0.1_seed0,p0.1_seed1,p0.1_seed2,p0.1_seed4,p0.1_seed5,p0.2_seed0,p0.2_seed1,p0.2_seed2,p0.2_seed4,p0.2_seed5,p0.4_seed0,p0.4_seed1,p0.4_seed2,p0.4_seed4,p0.4_seed5,p0.7_seed0,p0.7_seed1,p0.7_seed2,p0.7_seed4,p0.7_seed5,p0.95_seed0,p0.95_seed1,p0.95_seed2,p0.95_seed4,p0.95_seed5,genome_id_y,label_y,cv_0,cv_1,cv_2,cv_3,cv_4,test
GCA_000009625,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Mesorhizobium japonicum,27.3730437060341,12.8893169806613,36.928924965004,28.0,15.0,37.0,train,0.124066360473929,0.0064132047237463,0.0690682714793773,0.0494399782339718,0.0360953300209238,0.0904326645893929,0.0140313145774086,0.0494853241259579,0.0551794725624963,0.0785455629044691,0.0185594257914477,0.0370994176291872,0.0531453854076919,0.0374686627496453,0.048105513412667,0.0578548801896753,0.0587034961682721,0.0737712882767913,0.0141673522533669,0.028367094429581,0.120758171013629,0.0092142450487142,0.0602329398235962,0.0585023714045193,0.0358489424649603,0.0852637095675388,0.0224402880398556,0.0518435557103386,0.0379328611819539,0.094401630951903,0.0243636443814758,0.0272187147886428,0.0511990447669386,0.0318840694420966,0.074638890129541,0.0563771813727291,0.0524411417341754,0.0712879985843373,0.0126341105720713,0.0215164890209822,0.133327996899251,0.0063868690017778,0.0266554882415887,0.0245363621809725,0.0588299727841861,0.0912108930662869,0.0127400342093511,0.0722946385689368,0.0181242153335411,0.137562036046208,0.0308853144142701,0.0215746412652404,0.0459340585266386,0.0232050623098895,0.0491654097960077,0.0589858528323826,0.0529823644896824,0.0898501023752749,0.0214103352684928,0.0243383523900203,0.0033081894603002,-0.00280104,0.0088353316557811,-0.009062393,0.0002463875559635,0.0051689550218541,-0.008408973,-0.002358232,0.0172466113805424,-0.015856068,-0.005804219,0.0098807028405443,0.0019463406407533,0.0055845933075487,-0.026533377,0.0014776988169462,0.0062623544340967,0.0024832896924539,0.0015332416812956,0.0068506054085988,GCA_000009625.1,28.0,-,-,-,-,-,-,-,-,train,-,-,-,-,train,-,-,-,-,train,train,train,-,train,train,train,train,train,train,train,train,train,train,train,train,train,GCA_000009625.1,28.0,valid,train,train,train,train,-
GCA_000010985,Bacteria,Deferribacterota,Deferribacteres,Deferribacterales,Deferribacteraceae,Deferribacter,Deferribacter desulfuricans,49.8919871284392,30.6142333446558,57.8599215047392,62.5,40.0,70.0,train,0.0738230219373921,0.0072097609070741,0.0624229726398816,0.0628543258565442,0.0429504560019719,0.0699408429874291,0.0141114123736751,0.071727877742174,0.106112891298989,0.0773970914468819,0.0210746857283707,0.0568153808232684,0.0372812422972639,0.0248336209021444,0.0286541779640128,0.055829430613754,0.0528099580971161,0.0726522060635938,0.0117081587379837,0.0497904855804781,0.0502337508745532,0.0103102139032736,0.0618071269865896,0.0749598217814246,0.0507650693934186,0.0560577629587562,0.0152823599324361,0.0953153221722291,0.103872038594509,0.0948923165194685,0.0196353661999455,0.0650609040318732,0.0296001498815876,0.0224719923419876,0.0335301504963363,0.0557181874866438,0.045593861880604,0.0636147809006361,0.0054800455499512,0.0457987781137753,0.0684720234538911,0.0047519139653471,0.0258576371038334,0.0318739492295507,0.0895777465923774,0.0725431076405774,0.011532422781398,0.128301677064373,0.0594683969932333,0.130649845076489,0.027830654013422,0.0389740312070139,0.0318878437148295,0.0155340345416904,0.0236623084297842,0.0647066179433382,0.0477414514179322,0.0731266760222867,0.0100735018271248,0.0434341609815064,0.0235892710628389,-0.003100453,0.0006158456532919,-0.012105496,-0.007814613,0.0138830800286729,-0.001170948,-0.023587444,0.0022408527044805,-0.017495225,0.0014393195284251,-0.008245523,0.0076810924156762,0.0023616285601568,-0.004875973,0.0001112431271101,0.007216096216512,0.0090374251629576,0.0062281131880324,0.0039917074667028,GCA_000010985.1,62.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,train,-,-,-,-,train,train,train,-,-,train,train,train,train,-,train,train,train,train,train,GCA_000010985.1,62.5,train,train,train,train,valid,-
GCA_000011005,Archaea,Halobacteriota,Methanocellia,Methanocellales,Methanocellaceae,Methanocella,Methanocella paludicola,50.6856138352393,36.5307274425521,58.5419179409835,36.0,25.0,40.0,train,0.0863570590001911,0.0061703115188249,0.0574985666311737,0.0379774483304665,0.0325716001856553,0.0953941081715674,0.0101291397056816,0.0549867584022715,0.0431648783684167,0.0605291178638709,0.0232615283807027,0.0536489474977475,0.0615666038714609,0.0321893684986485,0.0306331394872634,0.0833538100308515,0.0893057034428154,0.0810604199088104,0.0129139705681601,0.0472875201354192,0.0820792583839128,0.0134577454746707,0.0623726688606801,0.0688939997825752,0.0340142681468492,0.0783392701587342,0.0189230132812643,0.0677292242877574,0.0666025687182245,0.0861919747674331,0.0308065470265752,0.0364045286471238,0.0444054774097087,0.0241143823654401,0.0569751698101486,0.0587470404113563,0.0502688866581673,0.0751654334164912,0.00877746575913,0.0357310766337564,0.103815037622343,0.0087314009844041,0.0291832462707677,0.02799517227073,0.0623833141607105,0.0831368925264487,0.0094763045241103,0.0945084579553812,0.0341146962867972,0.137250834480548,0.0382352386520074,0.0269108190167273,0.0401965036679427,0.0178399683180266,0.0312199445565466,0.0657872404624059,0.0508985988270126,0.0859844984630471,0.0139551549210779,0.0383766760329643,0.0042778006162782,-0.007287434,-0.004874102,-0.030916551,-0.001442668,0.0170548380128332,-0.008793874,-0.012742466,-0.02343769,-0.025662857,-0.007545019,0.0172444188506237,0.0171611264617522,0.0080749861332083,-0.02634203,0.0246067696194952,0.039036816784648,0.0058949864923191,0.00413650480903,0.0115564435016627,GCA_000011005.1,36.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,train,-,-,-,train,train,train,-,-,train,train,train,train,train,train,train,GCA_000011005.1,36.0,train,valid,train,train,train,-
GCA_000011125,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,Aeropyrum,Aeropyrum pernix,80.8725774553235,67.3847843693603,89.0119449876846,92.5,70.0,100.0,train,0.0969022783852771,0.0041912204960136,0.0559039485708883,0.0769861027951974,0.0282986165821069,0.0940346012037941,0.0100211136671603,0.0562190779314908,0.0343806132417357,0.0954841962625657,0.0148741058204392,0.0259036334415277,0.0519018056912362,0.0262187628021302,0.0424794378092206,0.0716289036649544,0.0624271263353606,0.0922383638483597,0.0161346232628494,0.043771468187691,0.0920760522583652,0.0076247701042862,0.046357499736904,0.0829203145123705,0.0272918159631565,0.0879792730534661,0.0162919011561186,0.0542904679098157,0.0452875763604564,0.104373906899126,0.0219096253013074,0.0193563421148902,0.0518775025432604,0.0167754964995715,0.0853132344760883,0.0608528316637183,0.0395746365517898,0.0924569149122763,0.0126912456714458,0.0346985923115857,0.13071940226891,0.0021420982280563,0.0222606847859615,0.0354902834424375,0.0438873084964184,0.0906021866538712,0.0095623264900435,0.0749048908386743,0.019998629057134,0.157675566370771,0.0263563765980052,0.0165541351064194,0.0455324399355656,0.0126469479384446,0.0458066285087569,0.069952359735408,0.0479144531651643,0.0940638173904102,0.0153202865270589,0.0386091784624875,0.0048262261269119,-0.00343355,0.0095464488339842,-0.005934212,0.0010068006189504,0.006055328150328,-0.006270787,0.0019286100216751,-0.010906963,-0.008889711,-0.007035519,0.0065472913266375,2.43031479757669e-05,0.0094432663025587,-0.042833797,0.0107760720012361,0.0228524897835708,-0.000218551,0.0034433775914035,0.0090728758761053,GCA_000011125.1,92.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,train,-,-,-,-,train,-,train,-,-,train,-,train,train,train,train,-,train,train,GCA_000011125.1,92.5,train,valid,train,train,train,-
GCA_000011305,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium efficiens,28.217484302355,11.5757768852977,36.4964174933664,35.6666666666667,15.0,45.0,test,0.115534346351877,0.0062633429611955,0.0730252417430616,0.066510737159362,0.0291661434132864,0.0931966595504207,0.0157132990079115,0.0468102473941981,0.0149441165389928,0.08192578174055,0.0151324877558709,0.0358847168152706,0.0609066934572397,0.0367323872912219,0.046559085771694,0.0630572648499309,0.0836682154966721,0.0784723094311189,0.0128092427477081,0.0236876805224161,0.107611214663798,0.0065929568194514,0.0665545716513918,0.0684199027649489,0.0303361744257435,0.0827410549837111,0.0241096466241516,0.0506017732398962,0.0292714561474344,0.093254110918755,0.0220050995857277,0.0280159182296362,0.0528031128490754,0.0330809351821636,0.0701027107450815,0.0544693278170786,0.0647556125863528,0.0801373348303917,0.0133407817521114,0.0217963041830983,0.125784965121866,0.0045233874041058,0.0295759945653074,0.0270077709475916,0.0494093085679253,0.0967474690570477,0.0125263035806007,0.0722416449886501,0.0149454045366427,0.130266929564396,0.029832816927079,0.0209185955959107,0.0476861133663612,0.0224098222126489,0.0467499544347422,0.0578264543601809,0.0655476943979586,0.103366858316902,0.022376683843388,0.0202558282106937,0.0079231316880795,-0.000329614,0.0064706700916697,-0.001909166,-0.001170031,0.0104556045667095,-0.008396348,-0.003791526,-0.01432734,-0.011328329,-0.006872612,0.0078687985856343,0.0081035806081642,0.0036514521090582,-0.023543625,0.0085879370328523,0.0189126029103193,-0.001665025,-0.000531539,0.0018913763393178,GCA_000011305.1,35.6666666666667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCA_000011305.1,35.6666666666667,-,-,-,-,-,test
GCA_000011905,Bacteria,Chloroflexota,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,Dehalococcoides mccartyi,41.1145349178982,28.9332153571618,49.1479057199353,27.5,15.0,35.0,train,0.0859113712374581,0.0129598662207357,0.0616638795986622,0.0539297658862876,0.039994425863991,0.0829849498327759,0.0134476031215161,0.0650083612040133,0.0426421404682274,0.0790830546265328,0.0218784838350055,0.048076923076923,0.0464046822742474,0.0360228539576365,0.0344899665551839,0.0740663322185061,0.0712792642140468,0.0664715719063545,0.021948160535117,0.0417363433667781,0.0859500054664876,0.0142801476792657,0.0538911580263456,0.0709914526560121,0.0344248554184105,0.0741199655751445,0.0191803632551111,0.0690655670149333,0.0620936927946086,0.0983911706413171,0.0254934556331454,0.0396838968487801,0.0439281339093235,0.0342482458181369,0.0532407861650206,0.0628309677925762,0.0520241422520247,0.0657268045716656,0.0086819036832913,0.0317532847983987,0.098977142990284,0.0070132109322211,0.025699573615415,0.0294042265663226,0.0660080616976164,0.0905892495165311,0.0114867541182226,0.0930823178545632,0.0333185768540739,0.146601738157925,0.0327127845476362,0.028588736923041,0.0387707076120133,0.0219949206645075,0.0342971644260117,0.0640042871455532,0.0465528087793285,0.082224655746872,0.0192688552855378,0.0294042265663226,-3.86e-05,-0.001320281,0.0077727215723165,-0.017061687,0.0055695704455805,0.0088649842576313,-0.00573276,-0.004057206,-0.019451552,-0.019308116,-0.003614972,0.0083930262281429,0.0024765483649239,0.0017746081394996,-0.01875082,0.0112353644259299,0.0192551219620221,0.0007447673346888,0.0132662568518257,0.0099830585683794,GCA_000011905.1,27.5,-,-,-,-,-,train,-,-,-,-,train,-,-,-,-,train,-,-,train,-,train,train,train,train,-,train,train,train,train,train,train,train,train,train,train,GCA_000011905.1,27.5,train,valid,train,train,train,-
GCA_000014185,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter_B,Rubrobacter_B xylanophilus,54.9833185390468,42.1743682296796,64.4049884826067,60.0,40.0,70.0,test,0.117790975977307,0.0050527435511036,0.0521407676624412,0.0832727595071358,0.0285967556067724,0.110344827586207,0.0153532488254587,0.033649499157876,0.0173388883964187,0.0877227196170552,0.0125520787164258,0.0252814466802588,0.0650474248736814,0.0301037142097331,0.0939987589752681,0.0518039180923677,0.0443754986260083,0.0795674142363265,0.013846290222498,0.032160269479656,0.113337917976789,0.008836963122117,0.0467910219773726,0.0919778378167709,0.0303629956412361,0.100728053114813,0.0194013394366923,0.0358884548703874,0.0222816186389643,0.103648563192018,0.019144867608991,0.0187702175861726,0.0567154759375365,0.020953999766158,0.103118018528832,0.0491382420867754,0.0399065135043732,0.0826191305353598,0.0114167679772293,0.0249620006814104,0.150453842104424,0.0046580630752787,0.021240448577855,0.0344967856174326,0.0540702218960869,0.112758626190438,0.0089970807344425,0.0469634852521256,0.0102732623989024,0.155534640356055,0.0229951983664874,0.0152264424840876,0.0485826407389091,0.0175794024279356,0.0585448338570995,0.0521001164515768,0.043374224320832,0.0968223076554947,0.0184647534576546,0.0268636240368816,0.0044530580005176,-0.00378422,0.0053497456850686,-0.008705078,-0.00176624,0.0096167744713942,-0.004048091,-0.002238956,-0.00494273,-0.015925844,-0.006592789,0.0065112290940861,0.0083319489361448,0.0091497144435751,-0.00911926,0.0026656760055922,0.0044689851216351,-0.003051716,0.0024295222452686,0.0071982687982456,GCA_000014185.1,60.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCA_000014185.1,60.0,-,-,-,-,-,test
GCA_000014885,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Shewanellaceae,Shewanella,Shewanella piezotolerans,21.0206476006579,5.24674645915035,28.7414552910946,17.5,0.0,28.0,train,0.0893594740822619,0.0063089443507152,0.070852806381342,0.0614281743492285,0.0391529466519285,0.0786872741611237,0.0168971112016082,0.0529537624191181,0.0503034886652316,0.0784416390327147,0.0196895947666789,0.0555975720906781,0.0364121757454702,0.0440979696317412,0.0367289157794713,0.0762503151240134,0.0641689452556867,0.0691592168117853,0.0129928054763705,0.0405168680228311,0.0883564937966844,0.0109791236619778,0.058235832393437,0.0636385690876976,0.0382115724287629,0.0659513523866272,0.022629865293354,0.0623574727075397,0.0548309250707582,0.102055287182652,0.0250822497925134,0.0444255282926517,0.0380864420846545,0.0492758187738077,0.0443872230852716,0.0698840203443212,0.0531284714094188,0.066642548573131,0.0113247217552297,0.0305164818795088,0.104136538609324,0.0095082402420025,0.0263799523540055,0.0291814250483795,0.0634837465680212,0.0780220624707452,0.0142309223901242,0.0850292373147779,0.0349729982744046,0.142316210117438,0.0373972152942244,0.0287273209956755,0.0365798279993572,0.0301944263967192,0.0276025401882086,0.0694010716855643,0.0525642906545386,0.0819203711078043,0.0186811421066236,0.0296704601820607,0.0010029802855774,-0.004670179,0.012616973987905,-0.002210395,0.0009413742231656,0.0127359217744964,-0.005732754,-0.00940371,-0.004527436,-0.023613648,-0.005392655,0.0111720437980263,-0.001674266,-0.005177849,-0.007658307,0.0063662947796921,0.0110404738462679,0.0025166682386542,0.0016680837211408,0.0100003861433222,GCA_000014885.1,17.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,train,train,-,train,train,train,train,train,GCA_000014885.1,17.5,train,train,train,valid,train,-
GCA_000016745,Bacteria,Desulfobacterota_F,Desulfuromonadia,Geobacterales,Geobacteraceae,Geotalea,Geotalea uraniireducens,28.6506313197577,10.5970302403866,34.9493765113716,32.0,10.0,34.0,train,0.0989176497001786,0.0074931943833783,0.0560165392854804,0.0473539949671178,0.0368859743491398,0.0933796084080937,0.0144625199958838,0.0504691431939156,0.0565778272542728,0.0789451528106495,0.0168479938632515,0.0492156000636126,0.0493746316547704,0.0349214664583664,0.0431817543990944,0.0699271261120517,0.0762696801594057,0.0743519462660317,0.0111041469826094,0.0343040496926948,0.0906138628896654,0.0134440196337418,0.0546856339284725,0.0684847756245481,0.0393782121146451,0.077956806400739,0.0210091477545054,0.0613902435552068,0.056000139201521,0.0970218783663436,0.02440060299568,0.0374839641429536,0.0436191130015802,0.0310197935071981,0.0602829587283308,0.0586576227860235,0.0545290322172429,0.0707167454684368,0.0099449995808136,0.029360448102351,0.10306016449218,0.0094635420141238,0.0254934288900113,0.0313450047174756,0.0657015696327993,0.0872304129458967,0.0149053169285898,0.0821317271678944,0.034766365828322,0.137626394990899,0.0332129344604446,0.0254076566058954,0.0417806326182466,0.0217480391502825,0.0412564686597604,0.0596307979681498,0.0527594849850851,0.0850956360967892,0.0165254600730017,0.030858961774152,0.0083037868105132,-0.005950825,0.0013309053570078,-0.021130781,-0.002492238,0.0154228020073547,-0.006546628,-0.0109211,0.0005776880527517,-0.018076726,-0.007552609,0.0117316359206589,0.0057555186531902,0.0039016729511683,-0.017101204,0.0112695033260282,0.0217406479421628,0.0036352007975949,0.0011591474017958,0.0049436015903437,GCA_000016745.1,32.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,train,-,-,-,-,train,train,-,train,train,train,train,train,train,train,GCA_000016745.1,32.0,train,valid,train,train,train,-
GCA_000016785,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga petrophila,76.31242574765,53.1032309240635,85.3005390984429,80.0,47.0,88.0,train,0.064234966673991,0.002050831319124,0.065626602211968,0.084596791913865,0.045630996850509,0.076027246758954,0.010840108401084,0.065113894382187,0.071852340145023,0.084889767816597,0.019189921628946,0.045850728777558,0.046436680583022,0.029370834248883,0.03369222881418,0.053175126345858,0.050758075148319,0.082985424448839,0.020068849337142,0.04760858419395,0.0561237969428194,0.0076638094575937,0.0526951460553629,0.0962584797528828,0.0480289230341375,0.0683386140383985,0.0168492565628072,0.0702992620256056,0.0801620961253861,0.0955870521746903,0.0230609548971504,0.0371053128196978,0.039894319682959,0.0202580427290154,0.0572282754442248,0.0544591333022119,0.0449518777127759,0.0852871942074472,0.0099820224272702,0.0357664306075625,0.0718440693740938,0.0024162803601152,0.0241270068550768,0.0357251525836301,0.0875946376474378,0.0766229349752107,0.0092355604875516,0.0899393245154015,0.0442089814035904,0.140305346244026,0.0311968642050437,0.0286731936067011,0.037389701276154,0.0158221617654955,0.0385530955236169,0.069857349966888,0.0491310339890104,0.0936442877342449,0.0178804746648529,0.0358325428218574,0.0081111697311716,-0.005612978,0.012931456156605,-0.011661688,-0.002397926,0.0076886327205555,-0.006009148,-0.005185368,-0.008309756,-0.010697284,-0.003871033,0.0087454159578601,0.006542360900063,0.0091127915198676,-0.023536047,-0.001284007,0.005806197435543,-0.00230177,0.0100868269098717,0.0118421535863875,GCA_000016785.1,80.0,-,-,-,-,-,-,-,-,-,-,-,train,-,-,-,-,train,-,-,-,train,train,-,-,-,train,train,train,-,train,train,train,train,train,train,GCA_000016785.1,80.0,valid,train,train,train,train,-
