genome_id,prediction_NNM,prediction_gRodon_clade,prediction_gRodon_pkg,prediction_phylopred,prediction_Phydon,prediction_xTrimoPhylo_MLP,k_clade,kk,phy_distance,label,cv_0,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9
GCA_000010565.1,0.251498578,0.073836225,0.073893137,0.267527644,0.184262917,0.188175902,10,5,4.057080848,0.068969869,train,train,train,train,test,train,train,train,train,train
GCA_000011445.1,0.671095743,0.452798888,0.453126221,0.420422244,0.443871872,1.000484467,10,7,4.14749238627446,0.407733636,train,train,train,train,train,train,test,train,train,train
GCA_000018565.1,0.350853375,0.249357231,0.249190099,0.267527644,0.200027114,0.32491371,10,5,4.057080848,0.034657359,train,train,train,train,test,train,train,train,train,train
GCA_000063505.1,0.383430404,0.230703189,0.230695327,0.34389792,0.197124827,0.853962421,10,4,4.014557272,0.04793549,train,train,train,test,train,train,train,train,train,train
GCA_000182945.1,0.29134121,0.41256833,0.412710438,0.312518619,0.368567345,0.897300184,10,8,4.051532012,1.474781235,train,train,train,train,train,train,train,test,train,train
GCA_000306535.2,0.090087978,0.156970114,0.156962677,0.330158273,0.150229448,0.586853743,10,10,4.327659694,0.067756323,train,train,train,train,train,train,train,train,train,test
GCA_000341585.2,0.466353886,0.065594056,0.065577459,0.34389792,0.12975527,1.10728085,10,4,4.014557272,0.028857085,train,train,train,test,train,train,train,train,train,train
GCA_000419545.1,0.383868949,0.084648799,0.084654028,0.350929612,0.105709777,0.708743811,10,1,4.06332724559989,0.02415147,test,train,train,train,train,train,train,train,train,train
GCA_000435175.1,0.350853375,0.417738977,0.417558543,0.267527644,0.370646677,0.478711694,10,5,4.057080848,0.693147181,train,train,train,train,test,train,train,train,train,train
GCA_000502075.1,0.437717683,0.155441081,0.155550185,0.355231546,0.170952429,0.225511938,10,9,4.37197891320676,0.173286795,train,train,train,train,train,train,train,train,test,train
GCA_000504925.1,0.251498578,0.132986808,0.132993185,0.267527644,0.193754177,0.18373771,10,5,4.057080848,0.069314718,train,train,train,train,test,train,train,train,train,train
GCA_000521445.1,0.251498578,0.412741694,0.412833342,0.267527644,0.360754848,-0.207737356,10,5,4.057080848,0.135911212,train,train,train,train,test,train,train,train,train,train
