genome_id,genbank_accession,label,cv_0,cv_1,cv_2,cv_3,cv_4,test
GCA_000014885.1,GCA_000014885,0.5440804525867846,train,train,valid,train,train,-
GCA_000017185.1,GCA_000017185,0.4836015592792648,-,-,-,-,-,test
GCA_000017945.1,GCA_000017945,0.1461590556048183,train,valid,train,train,train,-
GCA_000024545.1,GCA_000024545,0.812920038045028,valid,train,train,train,train,-
GCA_000170835.1,GCA_000170835,0.6532221646565988,train,train,train,valid,train,-
GCA_000214175.1,GCA_000214175,0.9030954156390384,train,train,valid,train,train,-
GCA_000236705.1,GCA_000236705,0.6283991486237853,train,train,train,valid,train,-
GCA_000237085.1,GCA_000237085,-0.3978314486210028,train,valid,train,train,train,-
GCA_000265405.1,GCA_000265405,0.3522018196594159,train,train,valid,train,train,-
GCA_000266925.1,GCA_000266925,-0.3935111495573519,train,train,train,valid,train,-
GCA_000300995.1,GCA_000300995,0.7403705856857679,valid,train,train,train,train,-
GCA_000336875.1,GCA_000336875,1.365489856845839,train,train,train,train,valid,-
GCA_000336955.1,GCA_000336955,1.2105886991240284,train,train,train,train,valid,-
GCA_000336995.1,GCA_000336995,1.178404221461089,train,train,train,train,valid,-
GCA_000337095.1,GCA_000337095,1.2547921028214268,train,train,train,train,valid,-
GCA_000337175.1,GCA_000337175,1.2405517442207257,train,train,train,train,valid,-
GCA_000337355.1,GCA_000337355,1.2949091129042831,train,train,train,train,valid,-
GCA_000337375.1,GCA_000337375,1.1760941543425762,train,train,train,train,valid,-
GCA_000337495.1,GCA_000337495,1.2949091129042831,train,train,train,train,valid,-
GCA_000337515.1,GCA_000337515,1.301032167130962,train,train,train,train,valid,-
GCA_000337735.1,GCA_000337735,1.2552749178437257,train,train,train,train,valid,-
GCA_000337815.1,GCA_000337815,1.2405517442207257,train,train,train,train,valid,-
GCA_000403135.1,GCA_000403135,0.6418036724504208,-,-,-,-,-,test
GCA_000517625.1,GCA_000517625,1.301032167130962,train,train,train,train,valid,-
GCA_000591055.1,GCA_000591055,1.1461311377706014,-,-,-,-,-,test
GCA_000691225.1,GCA_000691225,0.666527340248891,-,-,-,-,-,test
GCA_000715205.1,GCA_000715205,0.3010517098452264,train,train,train,valid,train,-
GCA_000835165.1,GCA_000835165,4.342727686266485e-05,train,train,valid,train,train,-
GCA_000967545.1,GCA_000967545,0.5440804525867846,train,train,valid,train,train,-
GCA_001011115.1,GCA_001011115,1.36879435016141,train,train,train,train,valid,-
GCA_001028625.1,GCA_001028625,0.3010517098452264,-,-,-,-,-,test
GCA_001039475.1,GCA_001039475,0.0792174357465669,-,-,-,-,-,test
GCA_001046895.1,GCA_001046895,0.0644954267927278,-,-,-,-,-,test
GCA_001267175.1,GCA_001267175,0.6989786901387991,train,valid,train,train,train,-
GCA_001274775.1,GCA_001274775,0.5440804525867846,train,train,valid,train,train,-
GCA_001306115.1,GCA_001306115,-0.259558355050234,train,train,valid,train,train,-
GCA_001412615.1,GCA_001412615,0.2787764579556448,train,train,train,train,valid,-
GCA_001431415.1,GCA_001431415,0.3522018196594159,valid,train,train,train,train,-
GCA_001431465.1,GCA_001431465,0.4393484860697474,valid,train,train,train,train,-
